Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Netherlands,Australia,2007,,11,?,Bushmaster,APC,11,?,2007; 2008,New,EUR8.5 m deal; for use in Afghanistan,0.32,3.52,3.52
Netherlands,Australia,2008,,13,,Bushmaster,APC,13,,2008,New,EUR15 m deal; for use in Afghanistan,0.32,4.16,4.16
Netherlands,Australia,2009,,14,,Bushmaster,APC,14,?,2009,New,EUR14 m deal; for use in Afghanistan,0.32,4.48,4.48
Netherlands,Australia,2009,,9,,Bushmaster,APC,9,,2009,New,$15 m deal; for use in Afghanistan,0.32,2.88,2.88
Netherlands,Australia,2015,,12,,Bushmaster,APC,12,?,2016; 2017,New,,0.32,3.84,3.84
Netherlands,Australia,2009,,14,,Bushmaster,APC,14,,2009,New,EUR11 m deal; for use in Afghanistan,0.32,4.48,4.48
Netherlands,Australia,2016,?,8,?,Bushmaster,APC,8,?,2017,New,,0.32,2.56,2.56
Netherlands,Australia,2020,,6,,Bushmaster,APC,6,,2021,New,AUD14 m ($8.8 m) deal; incl 5 ambulance version; delivery planned 2021,0.32,1.92,1.92
Netherlands,Australia,1962,,2,,C-47 Skytrain,transport aircraft,2,,1962,Second hand,Second-hand,1,2,2
Nigeria,Algeria,1967,,2,?,Il-28,bomber aircraft,2,?,1968,Second hand,Second-hand,2.88,5.76,5.76
Nigeria,Austria,1984,?,75,?,4K-7FA,APC,75,?,1984; 1985; 1986,New,,0.3,22.5,22.5
Nigeria,Austria,1981,,25,?,4K-7FA,APC,25,?,1981,New,Incl 2 ARV; 2 command post and 2 ambulance versions,0.3,7.5,7.5
Nigeria,Austria,1981,,70,,4K-7FA,APC,70,,1982; 1983,New,Incl 15 mortar carrier; CP and ambulance version and 4 ARV,0.3,21,21
Nigeria,Austria,2016,?,5,?,DA40,light aircraft,5,?,2017,New,For training,0.15,0.75,0.75
Nigeria,Austria,2022,,4,,DA62,light aircraft,4,,2023,New,ISR version,0.6,2.4,2.4
Nigeria,Austria,1967,?,2,?,S-55,helicopter,2,?,1967,Second hand,Second-hand; Whirlwind HAR-3 version; no. could be 8,0.48,0.96,0.96
Niger,Austria,2008,?,2,,DA42MPP,reconnaissance aircraft,2,,2008,New,,0.5,1,1
New Zealand,Australia,1984,,10,,A-4E Skyhawk,FGA aircraft,10,,1984,Second hand,Second-hand; $23 m deal; A-4G version; incl 2 TA-4G; New Zealand designation A-4K,3.6,36,36
New Zealand,Australia,1988,,1,,ASI-315,patrol craft,1,,1989,New,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; for Cook Islands; Cook Islands designation Te Kukupa,6,6,6
New Zealand,Australia,1952,,4,,Bathurst,corvette/minesweeper,4,,1952,Second hand,Second-hand; aid,9,36,36
New Zealand,Australia,2015,,5,,Bushmaster,APC,5,,2018,Second hand,Second-hand,0.14,0.7,0.7
New Zealand,Australia,2020,,43,,Bushmaster,APC,43,?,2023,New,NZD103 m deal ($68 m),0.32,13.76,13.76
New Zealand,Australia,2014,,1,,Guardian,patrol craft,1,,2022,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; for Cook Islands,7,7,7
New Zealand,Australia,2013,,20,?,Penguin-2,anti-ship missile,20,?,2014; 2015,New,Second-hand; Penguin-2 Mod-7 version for SH-2G helicopters; sold via Norwegian producer,0.5,10,10
New Zealand,Australia,2004,,2,,Tenix-1600,OPV,2,,2010,New,Part of NZD500 m ($317 m) 'Project Protector'; partly produced in New Zealand and assembled in Australia; New Zealand designation Otago,33,66,66
New Zealand,Australia,2004,,4,,Tenix-340,patrol craft,4,,2009,New,Part of NZD500 m ($317 m) 'Project Protector'; produced under licence in New Zealand,14,56,56
Oman,Australia,2014,,2,,HSSV-72,transport ship,2,,2016,New,AUD125 m deal,20,40,40
OSCE**,Austria,2014,,6,?,Camcopter S-100,UAV,6,?,2014; 2015,New,For OSCE observation misison in eastern Ukraine,0.2,1.2,1.2
Pakistan,Australia,1990,,45,,Mirage-3E,FGA aircraft,45,?,1990; 1991,Second hand,Second-hand; $28 m deal; Mirage-3OA version; incl some Mirage-3OD; modernized in Pakistan after delivery; 5 more for for spares only,4.8,216,216
Palau,Australia,1995,,1,,ASI-315,patrol craft,1,,1996,New,Part of 'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Palau designation Remeliik,6,6,6
Palau,Australia,2014,,1,,Guardian,patrol craft,1,,2020,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; Palau designation President Remeliik-2,7,7,7
Papua New Guinea,Australia,1985,,4,,ASI-315,patrol craft,4,,1987; 1988; 1989,New,'Pacific Patrol Boat'/'Defence Cooperation' aid programme; Papua New Guinean designation Tarangau,6,24,24
Papua New Guinea,Australia,1975,?,5,,Attack,patrol craft,5,,1975,Second hand,Second-hand; aid upon independence,2.4,12,12
Papua New Guinea,Australia,1975,,2,,Balikpapan,landing craft,2,,1975,New,Aid upon independence,8,16,16
Papua New Guinea,Australia,2014,,1,,Balikpapan,landing craft,1,,2014,Second hand,Second-hand; for training; aid,3.2,3.2,3.2
Papua New Guinea,Australia,1974,,4,,C-47 Skytrain,transport aircraft,4,,1975,Second hand,Second-hand; aid upon independence,1,4,4
Papua New Guinea,Australia,1980,,2,,C-47 Skytrain,transport aircraft,2,,1981,Second hand,Second-hand,1,2,2
Papua New Guinea,Australia,2014,,4,,Guardian,patrol craft,4,,2018; 2021; 2023,New,Part of 'SEA-3036 Pacific Patrol Boat Replacement' aid programme; Papuan designation Ted Diro,7,28,28
Papua New Guinea,Australia,1977,,3,,Nomad,light transport aircraft,3,,1977; 1978,New,$1.3 m aid,1.5,4.5,4.5
Papua New Guinea,Australia,1980,,2,,Nomad Searchmaster-B,maritime patrol aircraft,2,,1982,New,$4.7 m deal,2,4,4
Papua New Guinea,Australia,1983,,1,,Nomad Searchmaster-B,maritime patrol aircraft,1,,1984,New,Aid,2,2,2
Papua New Guinea,Australia,1989,,4,,Bell-205/UH-1H,helicopter,4,?,1990,Second hand,Second-hand; part of $1.1 m aid,1.05,4.19,4.19
Paraguay,Argentina,1964,,3,,Bouchard,OPV,3,,1964; 1968,Second hand,Second-hand,4,12,12
Paraguay,Argentina,1979,,1,,C-47 Skytrain,transport aircraft,1,,1979,Second hand,Second-hand; aid,1,1,1
Paraguay,Argentina,1962,,3,,CV-440,transport aircraft,3,,1962,Second hand,Second-hand; $0.7 m deal; CV-440 version,2,6,6
Paraguay,Argentina,1970,?,1,,DHC-3 Otter,light transport aircraft,1,,1972,Second hand,Second-hand; aid,0.32,0.32,0.32
Paraguay,Argentina,1980,,3,,Firefly,tank,3,,1980,Second hand,Second-hand,0.36,1.08,1.08
Paraguay,Argentina,1966,?,1,,G-21 Goose,light transport aircraft,1,,1967,Second hand,Second-hand; aid,0.24,0.24,0.24
Paraguay,Argentina,1972,,1,,LSM,landing ship,1,,1972,Second hand but modernized,Ex-Argentinian; modernized before delivery,10.56,10.56,10.56
Paraguay,Argentina,2007,,20,,M-3/M-5 Half-track,APC,20,?,2011,Second hand,Second-hand; aid; M-9 version,0.06,1.2,1.2
Paraguay,Argentina,1982,?,6,,M-4 Sherman,tank,6,?,1982,Second hand,Second-hand,0.34,2.02,2.02
Paraguay,Argentina,1975,?,10,,T-6 Texan,trainer aircraft,10,,1976,Second hand,Second-hand; aid,0.1,1,1
Philippines,Austria,2020,?,10,,Pandur-2,APC,0,,,New,Chassis for 10 Sabrah AFSV from Israel; from Czech production line,0.3,3,0
Philippines,Australia,2015,,2,,Balikpapan,landing craft,2,,2015,Second hand,Second-hand; aid,3.2,6.4,6.4
Philippines,Australia,2015,?,3,,Balikpapan,landing craft,3,,2016,Second hand,Second-hand; PHP270 m ($5.8 m) deal,3.2,9.6,9.6
Philippines,Australia,1974,?,11,?,Nomad,light transport aircraft,11,,1975; 1976,New,N-22B version,1.5,16.5,16.5
Philippines,Australia,1989,,3,?,Nomad,light transport aircraft,3,,1990,Second hand,Second-hand; $5.3 m deal; N-22B version,0.6,1.8,1.8
Philippines,Australia,1979,,1,,Nomad,light transport aircraft,1,,1980,New,N-22B version,1.5,1.5,1.5
Poland,Austria,2012,,5,,DA20,light aircraft,5,?,2013,New,For training,0.16,0.8,0.8
