Recipient,Supplier,Year of order, ,Number ordered,0.1,Weapon designation,Weapon description,Number delivered,0.2,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
AZE,Ukraine,2007,?,3,?,2S7 Pion 203mm,self-propelled gun,3,,2008,Second hand,Second-hand,0.44,1.32,1.32
AZE,Ukraine,2012,?,1,?,80K6M,air search radar,1,?,2013,New,,13,13,13
AZE,Ukraine,2004,?,2,,BMP-1,IFV,2,,2005,Second hand,Second-hand,0.36,0.72,0.72
AZE,Ukraine,2005,?,3,?,BTR-3,IFV,3,,2006,New,,1,3,3
AZE,Ukraine,2007,?,150,?,BTR-70,APC,150,?,2007; 2008; 2009; 2010,Second hand,Second-hand,0.11,16.2,16.2
AZE,Ukraine,2006,?,18,?,BTR-80,APC,18,,2007,Second hand,Second-hand,0.14,2.52,2.52
AZE,Ukraine,2006,?,4,?,BTS,ARV,4,,2007,Second hand,Second-hand; BTS-5B version,0.4,1.6,1.6
AZE,Ukraine,2011,?,19,?,BTS,ARV,19,?,2012; 2013,Second hand,Second-hand; BTS-5B version,0.4,7.6,7.6
AZE,Ukraine,2006,?,55,,D-30 122mm,towed gun,55,,2007,Second hand,Second-hand,0.14,7.7,7.7
AZE,Ukraine,2005,?,12,,L-39C Albatros,trainer aircraft,12,,2006,Second hand,Second-hand,1.8,21.6,21.6
AZE,Ukraine,2007,,12,,Mi-24P/Mi-35P,combat helicopter,12,,2009; 2010,Second hand but modernized,Second-hand but modernized to Mi-24G before delivery,5.94,71.28,71.28
AZE,Ukraine,2005,,16,?,MiG-29,fighter aircraft,16,?,2006; 2007; 2009; 2011,Second hand but modernized,Second-hand but modernized before delivery; incl some MiG-29UB version,13.63,218.06,218.06
AZE,Ukraine,2004,?,85,?,PM-43 120mm,mortar,85,,2005; 2006,Second hand,Second-hand,0.1,8.5,8.5
AZE,Ukraine,2008,?,400,?,R-2,anti-tank missile,400,?,2009; 2010,New,For portable Skif anti-tank system and for Barrier (Baryer) system (from Belarus and Ukraine) on Mi-24 combat helicopters modernized to Mi-24G,0.04,16,16
AZE,Ukraine,2006,?,43,?,R-27R/T,BVRAAM,43,,2007,New,,0.19,8.17,8.17
AZE,Ukraine,2003,?,12,,BM-9A52 Smerch,self-propelled MRL,12,,2004; 2005,Second hand,Second-hand,0.48,5.76,5.76
AZE,Ukraine,2007,?,18,,Strela-3,portable SAM,18,,2008,Second hand,Second-hand,0.02,0.43,0.43
AZE,Ukraine,2002,?,72,?,T-12 100mm/2A19,towed gun,72,,2002,Second hand,Second-hand; MT-12 version,0.13,9.5,9.5
AZE,Ukraine,1993,?,150,?,T-55,tank,150,,1993; 1994,Second hand,Second-hand,0.5,75,75
AZE,Ukraine,2002,?,45,?,T-72M1,tank,45,,2004; 2005; 2006,Second hand,Second-hand,1.04,46.8,46.8
AZE,United States,2023,,,,aircraft engine,aircraft engine,0,,,New,AE-2100D3 (5000hp) turboprop engine for C-27J transport aircraft from Italy,1.5,0,0
AZE,United States,2011,,90,?,vehicle engine,vehicle engine,90,?,2012; 2013; 2014,New,Cummins 300hp diesel engine; for 90 Matador and Marauder APC from South Africa,0.03,2.7,2.7
AZE,United States,2009,,50,?,vehicle engine,vehicle engine,50,?,2009; 2010; 2011,New,Cummins 300hp diesel engine; for 50 Matador and Marauder APC from South Africa,0.03,1.5,1.5
AZE,unknown supplier(s),2018,,2,?,Bell-412,helicopter,2,?,2018,Second hand,Second-hand,2,4,4
BLR,China,2013,?,6,?,A-200 301mm,self-propelled MRL,6,?,2016,New,Produced under licence (on truck chassis from Belarus) as B-200 Polonez,0.5,3,3
BLR,China,2016,?,10,?,VN-3,APV,10,?,2017; 2018,New,Aid,0.14,1.4,1.4
BLR,Russia,2016,?,40,?,2B23 NONA-M1 120mm,mortar,40,,2017,New,,0.25,10,10
BLR,Russia,2012,?,150,?,48N6,SAM,150,?,2014,Second hand,Probably second-hand; for 4 S-300PMU-1 (SA-20A) SAM systems,0.44,66,66
BLR,Russia,2021,?,70,?,48N6,SAM,70,?,2022; 2023,Second hand,Probably second-hand; for S-400 SAM systems,0.44,30.8,30.8
BLR,Russia,2005,,150,?,5V55R,SAM,150,?,2006,Second hand,Second-hand,0.32,48,48
BLR,Russia,2009,?,200,?,9M338,SAM,200,?,2011; 2012,New,For Tor SAM systems,0.25,50,50
BLR,Russia,2012,?,100,?,9M338,SAM,100,?,2013,New,For Tor SAM systems,0.25,25,25
BLR,Russia,2013,,100,?,9M338,SAM,100,?,2017,New,For Tor SAM systems,0.25,25,25
BLR,Russia,2017,,100,?,9M338,SAM,100,?,2018,New,For Tor SAM systems,0.25,25,25
BLR,Russia,2020,?,150,?,9M338,SAM,150,?,2022,New,For Tor SAM systems,0.25,37.5,37.5
BLR,Russia,2022,?,25,?,9M723 Iskander,SSM,25,?,2022,Second hand,Probably second-hand; Iskander-M version,1.2,30,30
BLR,Russia,2020,?,24,?,BTR-80,APC,16,?,2021; 2023,New,BREM-K ARV; BTR-80K command post and ambulance versions,0.35,8.4,5.6
BLR,Russia,2020,?,94,?,BTR-82A,IFV,94,?,2021; 2023,New,Incl production of components in Belarus,0.95,89.3,89.3
BLR,Russia,2022,?,4,?,9P78 Iskander,SSM TEL,4,?,2022,Second hand,Probably second-hand,0.4,1.6,1.6
BLR,Russia,2015,,12,,Mi-17,transport helicopter,12,,2016; 2017,New,Mi-8MTV-5 (Mi-17MTV-5) version,7.25,87,87
BLR,Russia,2020,,4,?,Mi-24P/Mi-35P,combat helicopter,4,,2023,Second hand,Second-hand (but possibly modernized before delivery); Mi-35M version,3.6,14.4,14.4
BLR,Russia,1996,,4,?,MiG-29,fighter aircraft,4,?,1998; 1999,New,RRS14.4 b deal; MiG-29UB version,20.65,82.6,82.6
BLR,Russia,2014,?,7,?,59N6 Protivnik-GE,air search radar,7,?,2016; 2017; 2018; 2019; 2020,New,,13,91,91
BLR,Russia,2014,?,4,,S-300PMU1,SAM system,4,?,2015; 2016,Second hand,Second-hand (but possibly modernized before delivery; possible aid); part of Belarus-Russia agreement on joint air defence network,18.8,75.2,75.2
