Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production
Cameroon,aircraft engine 1001-2000,aircraft engine,Engines,2012,No,2,No,2013,No,New,0.5,0.5,1,No
Cameroon,Bell-206L,light helicopter,Aircraft,1989,No,3,No,1990,No,New,0.95,0.95,2.85,No
Cameroon,Bell-412,helicopter,Aircraft,2009,Yes,2,No,2010,No,New,5,5,10,No
Cameroon,Bell-412,helicopter,Aircraft,2015,Yes,1,No,2015,No,Second hand,5,2,2,No
Cameroon,Bell-412,helicopter,Aircraft,2018,Yes,2,No,2019,No,Second hand,5,2,4,No
Cameroon,C-130H Hercules,transport aircraft,Aircraft,1976,No,2,No,1977,No,New,28,28,56,No
Cameroon,C-130H Hercules,transport aircraft,Aircraft,1982,No,1,No,1982,No,New,28,28,28,No
Cameroon,Cessna-208 Caravan,light transport aircraft,Aircraft,2016,No,2,No,2018,No,New,1,1,2,No
Cameroon,Commando-150,APC,Armoured vehicles,1982,Yes,6,Yes,1983,Yes,New,0.2,0.2,1.2,No
Cameroon,Commando-150,APC,Armoured vehicles,1982,Yes,33,Yes,1984,No,New,0.2,0.2,6.6,No
Cameroon,Commando-90,armoured car,Armoured vehicles,1982,Yes,12,Yes,1984,No,New,0.9,0.9,10.8,No
Cameroon,Cougar APC,APC,Armoured vehicles,2015,No,6,No,2015,No,Second hand,0.35,0.14,0.84,No
Cameroon,PA-23 Aztec,light aircraft,Aircraft,1971,Yes,2,Yes,1971,Yes,New,0.35,0.35,0.7,No
Cameroon,Queen Air,light transport aircraft,Aircraft,1962,Yes,1,No,1963,No,New,0.6,0.6,0.6,No
Cameroon,ScanEagle,UAV,Aircraft,2015,No,2,Yes,2016,Yes,New,0.04,0.04,0.08,No
